date,reuters_estimate,official_fix,deviation_points,forecast_url,official_url,actual_source,quality_note,retrieved_at
2024-01-02,7.0971,7.0770,-201,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-70971-reuters-estimate-20240102/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-03,7.1512,7.1002,-510,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71512-reuters-estimate-20240103/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-04,7.1504,7.0997,-507,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71504-reuters-estimate-20240104/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-05,7.1593,7.1029,-564,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71593-reuters-estimate-20240105/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-08,7.1499,7.1006,-493,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71499-reuters-estimate-20240108/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-09,7.1502,7.1010,-492,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71502-reuters-estimate-20240109/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-10,7.1618,7.1055,-563,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71618-reuters-estimate-20240110/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-11,7.1667,7.1087,-580,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71667-reuters-estimate-20240111/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-12,7.1592,7.1050,-542,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71592-reuters-estimate-20240112/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-15,7.1684,7.1084,-600,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71684-reuters-estimate-20240115/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-16,7.1783,7.1134,-649,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71783-reuters-estimate-20240116/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-17,7.1986,7.1168,-818,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71986-reuters-estimate-20240117/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-18,7.1976,7.1174,-802,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71976-reuters-estimate-20240118/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-19,7.1972,7.1167,-805,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71972-reuters-estimate-20240119/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-22,7.1870,7.1105,-765,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71870-reuters-estimate-20240122/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-23,7.2033,7.1117,-916,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-72033-reuters-estimate-20240123/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-24,7.1825,7.1053,-772,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71825-reuters-estimate-20240124/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-25,7.1620,7.1044,-576,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71620-reuters-estimate-20240125/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-26,7.1733,7.1074,-659,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71733-reuters-estimate-20240126/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-29,7.1785,7.1097,-688,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71785-reuters-estimate-20240129/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-30,7.1763,7.1055,-708,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71763-reuters-estimate-20240130/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-01-31,7.1727,7.1039,-688,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71727-reuters-estimate-20240131/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-01,7.1802,7.1049,-753,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71802-reuters-estimate-20240201/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-02,7.1655,7.1006,-649,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71655-reuters-estimate-20240202/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-05,7.2088,7.1070,-1018,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-72088-reuters-estimate-20240205/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-06,,7.1082,,,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-07,,7.1049,,,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-08,7.1911,7.1063,-848,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71911-reuters-estimate-20240208/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-09,,7.1036,,,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-19,7.1970,7.1032,-938,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71970-reuters-estimate-20240219/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-20,7.2018,7.1068,-950,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-72018-reuters-estimate-20240220/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-21,7.1877,7.1030,-847,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71877-reuters-estimate-20240221/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-22,7.1854,7.1018,-836,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71854-reuters-estimate-20240222/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-23,,7.1064,,,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-26,7.1998,7.1080,-918,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71998-reuters-estimate-20240226/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-27,7.1945,7.1057,-888,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71945-reuters-estimate-20240227/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-28,7.2023,7.1075,-948,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-72023-reuters-estimate-20240228/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-02-29,,7.1036,,,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-01,7.2011,7.1059,-952,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-72011-reuters-estimate-20240301/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-04,7.1906,7.1020,-886,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71906-reuters-estimate-20240304/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-05,7.1961,7.1027,-934,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71961-reuters-estimate-20240305/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-06,7.1939,7.1016,-923,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71939-reuters-estimate-20240306/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-07,7.1898,7.1002,-896,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71898-reuters-estimate-20240307/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-08,7.1863,7.0978,-885,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71863-reuters-estimate-20240308/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-11,7.1869,7.0969,-900,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71869-reuters-estimate-20240311/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-12,7.1885,7.0963,-922,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71885-reuters-estimate-20240312/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-13,7.1775,7.0930,-845,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71775-reuters-estimate-20240313/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-14,7.1875,7.0974,-901,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71875-reuters-estimate-20240314/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-15,7.2058,7.0975,-1083,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-72085-reuters-estimate-20240315/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-18,7.1995,7.0943,-1052,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71995-reuters-estimate-20240318/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-19,7.2056,7.0985,-1071,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-72065-reuters-estimate-20240319/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-20,7.1967,7.0968,-999,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71967-reuters-estimate-20240320/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-21,7.1792,7.0942,-850,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-71792-reuters-estimate-20240321/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-22,7.2147,7.1004,-1143,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-72147-reuters-estimate-20240322/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
2024-03-25,7.2267,7.0996,-1271,https://investinglive.com/centralbank/pboc-is-expected-to-set-the-usdcny-reference-rate-at-72267-reuters-estimate-20240325/,https://www.chinamoney.com.cn/chinese/bkccpr/,chinamoney,,2026-07-23T12:42:22+08:00
